symbol,window_size_mean,drift_degree,step_mean,time_series,p_norm,cumulant_1_mean,error_cumulant_1_mean,tfs_param_mean,error_tfs_param_mean,drift_coefficient_0_mean,error_drift_coefficient_0_mean,average_error_mean,rsquared_mean,window_size_variance,step_variance,cumulant_1_variance,error_cumulant_1_variance,cumulant_2_variance,error_cumulant_2_variance,tfs_param_variance,error_tfs_param_variance,drift_coefficient_1_variance,error_drift_coefficient_1_variance,average_error_variance,rsquared_variance
HUF=X,250,0,5000,absolute log-return,1,-4.6641475232733137e-07,1.1349948408747713e-07,0.0010700986870665608,9.54129224534517e-05,-0.00010926212890020007,0.0005473240891475783,0.0004333787029795788,0.8955991589919685,250,5000,2.0076497918662192e-05,1.948941132985777e-06,4.098420435672333e-07,1.678465521505184e-07,0.0021777755141810973,0.0008060840049677484,-0.010203830154667956,0.004052938635409233,4.809492996999624e-06,0.8326038701744398
HUF=X,1,0,5011,log-return,1,-1.8186818149209847e-07,4.0630649423830535e-09,0.0005335696319459979,5.921397657689287e-06,-0.003644890870691389,3.6164846148685604e-05,9.38608802976033e-05,0.717688581783908,219,4818,2.9200261696777216e-05,2.576250778223604e-06,1.1345949146191157e-06,2.754014251069083e-07,0.004099408534602443,0.000672893310391619,-0.020096878464045984,0.0031594956236706924,8.636943987206388e-06,0.8578339651343975
HUF=X,250,0,5000,log-return volatility,1,-0.0006267778566353771,6.432892784706795e-05,1.3828049177500197,0.054077871867568295,0.19063882811880362,0.3102108810659538,0.1655420637572733,0.9777247390814309,219,4818,0.011773192671290542,0.0010731345342304944,0.1735238728434792,0.04737291649249923,1.5595816706779242,0.3042448911266992,-7.7543492861690275,1.407676740476172,1.5028933652976197,0.8724921066425486
IDR=X,255,0,5355,absolute log-return,1,2.1825989459622846e-07,2.285805583275085e-07,0.0007538425723989622,0.0002077704165311904,0.00038370729550360206,0.00120661205044353,0.0009406298294468763,0.6752442161164638,249,5229,0.000285763178460393,2.905254090148637e-05,0.0001418347391004657,3.2089356920017634e-05,0.050713283924911014,0.006798073493700293,-0.22933401154834934,0.03575626494278621,0.0009347506642599288,0.8116789890441585
IDR=X,88,0,5456,log-return,1,1.0464694558026537e-07,1.7572559840220393e-08,1.862967636742033e-06,2.1404008410683713e-05,-0.0004044287191921396,0.0001300511606477308,9.734116451135335e-05,0.5905862870562668,250,5250,0.0002852827774747416,2.893641897667091e-05,0.00014216089257110484,3.202576348223257e-05,0.050891714821540715,0.006781745661276352,-0.23060600678293625,0.03566534609235838,0.0009369871510912562,0.8120462390164255
IDR=X,267,0,5340,log-return volatility,1,-6.8817452038621214e-06,1.2018469928505112e-06,0.016954651355287204,0.0010714866874038341,0.004970381362553069,0.0062099882147774255,0.003884057093977981,0.9447636316574888,250,5250,0.0003223879804443966,2.9142877314394878e-05,0.00019698772493320662,3.6367840930205434e-05,0.062121956842880445,0.006309014151010291,-0.2946286221767858,0.03186156699400963,0.0010976861064886042,0.8541970278072752
INR=X,239,0,4780,absolute log-return,1,1.5909454154928007e-07,6.354928887130079e-08,0.00036414216985684877,5.1508347398133374e-05,-0.0001366599444496243,0.00029086395732295397,0.0002439746458126486,0.911110229346885,239,4780,1.2502956986912627e-05,8.169341102777747e-07,2.13172878635502e-07,3.684399273037538e-08,0.0017754268246415819,0.00020656856978346313,-0.007934175075093346,0.0010570838888389615,9.4823793942561e-07,0.9529711107875994
INR=X,242,0,4840,log-return,1,3.9697426114531386e-08,6.772202166512141e-09,-3.871869894066175e-06,5.398306968195391e-06,-1.0591419346262361e-05,3.041295996660731e-05,2.5111912193305636e-05,0.7760884354058009,239,4780,1.582693363779124e-05,9.68744162835524e-07,3.292324674672636e-07,5.6033574865145364e-08,0.0021688203425217233,0.0002571728720616253,-0.009672346018590156,0.001318369940430404,1.4896892255349067e-06,0.9629542029884008
INR=X,242,0,4840,log-return volatility,1,-0.0009138477224425025,0.00011392274044979592,1.8494573957259084,0.09081092598752812,0.40484081467069,0.5116101999383799,0.32967782106013,0.9672206437075594,239,4780,0.015081035010466983,0.0010095101788245376,0.3144824406993818,0.054657654884023445,2.173049724124783,0.2503696579882617,-10.452188180203517,1.1969684215072294,1.4349158678087226,0.966874333318536
JODUSD=X,45,0,4995,absolute log-return,1,-1.64570966788141e-07,3.5739535560695896e-08,-0.0007529471106938039,5.396912910197412e-05,0.008170471727933748,0.000338030154436099,0.0001012928430578875,0.9601215122599972,45,4995,0.010990977779272602,22154.671972947708,9.100032846165381e-09,6.213864685597395e-09,1.1226622174667237e-07,0.22645905849197992,-8.601049455539215,17337254.663933665,8.15276897275371e-07,0.6349589735026151
